genename PIP_sum PIP_0hr_GABA PIP_1hr_GABA PIP_6hr_GABA PIP_diff
GALK2 0.958851228404237 0 0 0.958851228404237 0.958851228404237
CROT 0.915692908858657 0 0 0.915692908858657 0.915692908858657
ARL14EP 0.892024215862751 0 0 0.892024215862751 0.892024215862751
EFHB 0.846765478979556 0 0.846765478979556 0 0.846765478979556
TMEM219 0.784500606666697 0 0 0.784500606666697 0.784500606666697
LRCH4 0.710597137582645 0 0 0.710597137582645 0.710597137582645
XRN2 0.727971658254929 0.0233653956274792 0.023306038001161 0.681300224626289 0.681240866999971
RCC1 0.663553102911594 0 0.663553102911594 0 0.663553102911594
CDIP1 0.59795727804406 0 0.560907951503178 0.0370493265408823 0.59795727804406
CEBPZ 0.535910903706802 0 0 0.535910903706802 0.535910903706802
MFAP3 0.415012504679177 0 0.203490663260199 0.211521841418978 0.415012504679177
HLA-DMA 0.817977060331236 0.223572052740479 0.302083742140098 0.292321265450659 0.370832954850278
DNPH1 0.364885783056034 0 0 0.364885783056034 0.364885783056034
KCNH6 0.352776439216317 0 0 0.352776439216317 0.352776439216317
RBM6 0.392068037295038 0.0395343300088031 0 0.352533707286235 0.312999377277432
SCML4 0.291615102858459 0 0.291615102858459 0 0.291615102858459
ZBED4 0.208341594446424 0 0.208341594446424 0 0.208341594446424
OGDH 0.144826755564416 0 0.144826755564416 0 0.144826755564416
NSD3 0.144013014219725 0 0.0563038980351934 0.0877091161845318 0.144013014219725
MYT1L 0.100629888038039 0 0.100629888038039 0 0.100629888038039
MADD 0.0735003671166867 0 0.0735003671166867 0 0.0735003671166867
ARFGAP2 0.0735003671166865 0 0.0735003671166865 0 0.0735003671166865
HMOX2 0.0507427775244457 0 0 0.0507427775244457 0.0507427775244457
BTBD8 0.0450001478268818 0 0 0.0450001478268818 0.0450001478268818
ECEL1 0.0388821120705039 0 0.0388821120705039 0 0.0388821120705039
DNAJA3 0.0360259425245261 0 0.0360259425245261 0 0.0360259425245261
SPAG16 0.0327425503653632 0 0 0.0327425503653632 0.0327425503653632
ADAM10 0.0270813148399516 0 0.0270813148399516 0 0.0270813148399516
DDHD2 0.145577493824615 0.0632322798057489 0 0.0823452140188662 0.0191129342131173
LRRC37A2 0.00853233296669032 0 0.00853233296669032 0 0.00853233296669032
ALMS1 0.032914144442181 0.0127030203826196 0 0.0202111240595614 0.0075081036769418
NMRAL1 0.0197779638256587 0.0197779638256587 0 0 -0.0197779638256587
GABRA5 0.0204568572166103 0.0204568572166103 0 0 -0.0204568572166103
DBP 0.0272566568971639 0.0272566568971639 0 0 -0.0272566568971639
SETD6 0.0446488883794486 0.0446488883794486 0 0 -0.0446488883794486
ZCCHC7 0.0593180736506578 0.0593180736506578 0 0 -0.0593180736506578
ZNF232 0.0615772655279859 0.0615772655279859 0 0 -0.0615772655279859
SLC39A10 0.06590881879865 0.06590881879865 0 0 -0.06590881879865
CTDSPL 0.164848331153648 0.164848331153648 0 0 -0.164848331153648
DOP1A 0.173235562016616 0.173235562016616 0 0 -0.173235562016616
ATG13 0.287029823141868 0.27705868059882 0 0.00997114254304821 -0.267087538055772
PTK7 0.331645108827755 0.331645108827755 0 0 -0.331645108827755
INSYN2A 0.340432801228554 0.340432801228554 0 0 -0.340432801228554
SYNGR1 0.560749965859595 0.560749965859595 0 0 -0.560749965859595
DCP1B 0.632882369767583 0.632882369767583 0 0 -0.632882369767583
NUDT22 0.64050898203062 0.64050898203062 0 0 -0.64050898203062
RASA3 0.752839023666506 0.752839023666506 0 0 -0.752839023666506
ANKRD39 0.799422144742362 0.799422144742362 0 0 -0.799422144742362
PCDH7 0.842495412637965 0.842495412637965 0 0 -0.842495412637965
CDPF1 0.935089559831374 0.935089559831374 0 0 -0.935089559831374
