,GeneName,ExcL23,ExcL4,ExcL5_3,ExcL5_2,ExcL5_1,ExcL6,logFC.1,ortholog_name,eqtl_in_0hr_GABA,eqtl_in_0hr_nmglut,eqtl_in_0hr_npglut,eqtl_in_1hr_GABA,eqtl_in_1hr_nmglut,eqtl_in_1hr_npglut,eqtl_in_6hr_GABA,eqtl_in_6hr_nmglut,eqtl_in_6hr_npglut
2,Ankrd33b,,,,,,a,ERG,ANKRD33B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Arc,a,a,a,a,a,a,ERG,ARC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
5,Arl5b,a,a,,,a,a,ERG,ARL5B,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6,Atxn1,,,,c,,,LRG,ATXN1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
8,Bdnf,c,c,c,c,c,,LRG,BDNF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
9,Bhlhe40,,,a,,a,,ERG,BHLHE40,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
10,Camk1g,,a,c,,,,Both,CAMK1G,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Cbln2,c,c,,,c,,LRG,CBLN2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
14,Cdc42ep3,a,,,,,,ERG,CDC42EP3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16,Chuk,,,,a,,,ERG,CHUK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,Cited2,a,,,,,,ERG,CITED2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
19,Crh,c,,,,,,LRG,CRH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
20,Cyp51,,,,a,a,,ERG,CYP51A1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,Dnajb1,a,,,,,,ERG,DNAJB1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
23,Dot1l,c,,,,,,LRG,DOT1L,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24,Dusp1,a,,,a,,,ERG,DUSP1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
26,Dusp6,a,,a,,a,,ERG,DUSP6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
27,Egln1,c,,,,,,LRG,EGLN1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
30,Egr4,a,a,a,a,a,a,ERG,EGR4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
33,Fbxo33,a,,,,a,,ERG,FBXO33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,Fmnl1,c,c,,,c,c,LRG,FMNL1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
36,Fosb,a,a,a,a,a,a,ERG,FOSB,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
38,Frmd6,a,a,,,,,ERG,FRMD6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
39,Gadd45a,,,,,,a,ERG,GADD45A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
40,Gadd45b,a,a,a,a,a,a,ERG,GADD45B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
45,Hivep3,,,,,a,,ERG,HIVEP3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
