,GeneName,Int_Pv,Int_Vip,Int_Sst_1,Int_Sst_2,Int_Npy,Int_Cck,logFC.1,ortholog_name,eqtl_in_0hr_GABA,eqtl_in_0hr_nmglut,eqtl_in_0hr_npglut,eqtl_in_1hr_GABA,eqtl_in_1hr_nmglut,eqtl_in_1hr_npglut,eqtl_in_6hr_GABA,eqtl_in_6hr_nmglut,eqtl_in_6hr_npglut
4,Arc,,,,a,,,ERG,ARC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
6,Baiap2,,,,c,,,LRG,BAIAP2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
9,Ccnt1,,,,a,,,ERG,CCNT1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
11,Cenpa,,,,c,,,LRG,CENPA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
14,Cpeb1,,,,,a,,ERG,CPEB1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Crh,,c,a,,,,Both,CRH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,Crhbp,,,,c,,,LRG,CRHBP,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
18,Ctsb,,,,,,a,ERG,CTSB,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
19,Cxcl14,,,,,c,,LRG,CXCL14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
20,Dusp1,,,,a,,,ERG,DUSP1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
23,Egr4,,,,a,,,ERG,EGR4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
24,Elavl4,,,,,,a,ERG,ELAVL4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
25,Elovl4,,,,c,,,LRG,ELOVL4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
26,Eno1,c,,,,,,LRG,ENO1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
27,Eno1,c,,,,,,LRG,ENO1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
32,Fosb,,,,a,,,ERG,FOSB,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
34,Gabra4,,,,c,,,LRG,GABRA4,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
39,Glul,,,,a,,,ERG,GLUL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
44,Gtf3c1,,a,,,,,ERG,GTF3C1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
46,Hcn1,,,,c,,,LRG,HCN1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
50,Hunk,,,,c,,,LRG,HUNK,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
51,Ifrd1,,,,a,,,ERG,IFRD1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
53,Igfbp5,,c,,,,,LRG,IGFBP5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
55,Itgav,,,,c,,,LRG,ITGAV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
59,Lgi1,,,,,,c,LRG,LGI1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
60,Llph,,,,,,c,LRG,LLPH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
61,Mbp,,,c,,c,,LRG,MBP,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
62,Mdm2,,,,c,,,LRG,MDM2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
63,Midn,,,,a,,,ERG,MIDN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
65,Ngef,,,,,,c,LRG,NGEF,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
66,Noct,,,,a,,,ERG,NOCT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
67,Npy,,,,c,,,LRG,NPY,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
70,Nr4a3,,a,,a,,,ERG,NR4A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
72,Ntrk3,,,,a,,,ERG,NTRK3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
73,Osbpl3,,,,c,,,LRG,OSBPL3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
74,Pam,,c,,,,,LRG,PAM,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
75,Paqr8,,,,a,,,ERG,PAQR8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
76,Pcdh17,,,,c,,,LRG,PCDH17,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
77,Pcnp,,,,a,,,ERG,PCNP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
78,Per1,,,,a,,,ERG,PER1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
80,Plppr4,,,,,,c,LRG,PLPPR4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,Prickle2,,,,a,,,ERG,PRICKLE2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
