GeneName,ExcL23,ExcL4,ExcL5_3,ExcL5_2,ExcL5_1,ExcL6,logFC>1
Crem,a,,,c,a,a,Both
Zdbf2,a,a,,c,a,a,Both
Grasp,c,a,,,a,c,Both
Homer1,c,a,c,c,a,c,Both
Phf21b,c,a,c,,a,,Both
Pim1,c,a,,,,,Both
Ptgs2,c,,,,a,,Both
Lrrk2,c,,,a,,,Both
Camk1g,,a,c,,,,Both
Arc,a,a,a,a,a,a,ERG
Arl4d,a,,a,,a,,ERG
Arl5b,a,a,,,a,a,ERG
Cdc42ep3,a,,,,,,ERG
Cited2,a,,,,,,ERG
Dnajb1,a,,,,,,ERG
Dnajb5,a,a,a,,a,a,ERG
Dusp1,a,,,a,,,ERG
Dusp14,a,a,a,,a,a,ERG
Dusp6,a,,a,,a,,ERG
Egr1,a,a,a,a,a,a,ERG
Egr2,a,a,a,a,a,a,ERG
Egr4,a,a,a,a,a,a,ERG
Fbxo33,a,,,,a,,ERG
Fos,a,a,a,a,a,a,ERG
Fosb,a,a,a,a,a,a,ERG
Fosl2,a,a,a,a,a,a,ERG
Frmd6,a,a,,,,,ERG
Gadd45b,a,a,a,a,a,a,ERG
Gadd45g,a,a,a,a,a,a,ERG
Gm13889,a,,a,a,,,ERG
Ifrd1,a,a,,,a,,ERG
Irs2,a,a,,a,a,,ERG
Junb,a,,a,a,a,,ERG
Kdm7a,a,,,,a,,ERG
Mest,a,,,,a,,ERG
Midn,a,a,a,a,a,a,ERG
Npas4,a,,a,,a,,ERG
Nr4a1,a,a,a,a,a,a,ERG
Nr4a2,a,a,a,a,a,a,ERG
Nr4a3,a,a,a,a,a,a,ERG
Per1,a,,,,a,a,ERG
Phlda1,a,,,,,,ERG
Pim3,a,,,,a,,ERG
Sat1,a,,,,,,ERG
Spry2,a,,,,,,ERG
Stk40,a,a,,,a,a,ERG
Tfrc,a,,,,,,ERG
Tiparp,a,a,,a,a,a,ERG
Tnfaip6,a,,,,,,ERG
Gfod1,,a,,,,,ERG
Klf10,,a,,,,,ERG
Sertad1,,a,,,,,ERG
Bhlhe40,,,a,,a,,ERG
Nab2,,,a,,,,ERG
Chuk,,,,a,,,ERG
Cyp51,,,,a,a,,ERG
P4ha1,,,,a,,,ERG
Snhg3,,,,a,,,ERG
Trib1,,,,a,,,ERG
Adrb1,,,,,a,,ERG
Hivep3,,,,,a,,ERG
Sgk1,,,,,a,,ERG
Ankrd33b,,,,,,a,ERG
Gadd45a,,,,,,a,ERG
Bdnf,c,c,c,c,c,,LRG
Cdkn1a,c,c,c,,c,c,LRG
Nefm,c,c,c,,c,c,LRG
Nptx2,c,c,c,,c,c,LRG
R3hdm1,c,,,,,,LRG
Rheb,c,,,,c,c,LRG
Scg2,c,c,c,c,c,c,LRG
Vgf,c,c,c,,,c,LRG
Cbln4,c,c,,,c,,LRG
Crh,c,,,,,,LRG
Hsph1,c,c,,,,,LRG
Hspa8,c,,,,,,LRG
B230216N24Rik,c,,,,,,LRG
Cbln2,c,c,,,c,,LRG
Dot1l,c,,,,,,LRG
Egln1,c,,,,,,LRG
Etv5,c,,,,,,LRG
Fam19a1,c,,,,,,LRG
Fmnl1,c,c,,,c,c,LRG
Hsd17b12,c,,,,,,LRG
Inhba,c,,,,c,,LRG
Mapk4,c,,,,,,LRG
Nefl,c,,,,,c,LRG
Nhp2l1,c,,,,,,LRG
Ntrk2,c,c,,,,,LRG
Penk,c,,,,c,,LRG
Ppme1,c,,,,,,LRG
Sgsm1,c,c,c,c,,c,LRG
Tpt1,c,,,,,,LRG
Tsnax,c,,,,,,LRG
Ina,,,,,,c,LRG
Nrn1,,,c,,c,c,LRG
Pde10a,,c,,,,,LRG
Prkg2,,c,,,,,LRG
Rnd3,,c,,,,,LRG
Ier5,,,c,,,,LRG
Atxn1,,,,c,,,LRG
Iqgap2,,,,c,,,LRG
Pdlim1,,,,c,,c,LRG
Car12,,,,,c,,LRG
Mapk6,,,,,c,c,LRG
Nrp1,,,,,c,,LRG
Rcan2,,,,,,c,LRG
Tpbg,,,,,,c,LRG
