GWAS.sig tag 0hr_GABA 6hr_GABA 1hr_GABA 0hr_nmglut 1hr_nmglut 6hr_nmglut 0hr_npglut 1hr_npglut 6hr_npglut
FBXO44 FALSE 1_9,1_8 0.0132595838216223 0.858528714207223 NA NA NA NA NA NA NA
LRFN2 FALSE 6_31,6_32 0.0165535196656075 0.0289510112990534 0.838036149592036 NA NA NA NA NA NA
RCC1 FALSE 1_19 0.0198152168152959 0.0300999754090969 0.935224445669162 NA NA NA NA NA NA
RBBP5 FALSE 1_104 0.025846644981566 0.583572215131124 0.374375337589423 NA NA NA NA NA NA
CEBPZ FALSE 2_23 0.0265126650377633 0.917102541084869 0.0164908718056971 NA NA NA NA NA NA
ZNF638 FALSE 2_47 0.0130914896827536 0.786938323962457 NA NA NA NA NA NA NA
DNAH7 FALSE 2_116 0.0103980154526807 0.631074856234867 0.136670705736976 0.00412136038056032 0.0409944644661099 0.812060918918204 NA NA NA
EFHB FALSE 3_14 0.024229577708731 0.0156226972959778 0.96468531035222 NA NA NA NA NA NA
RBM6 FALSE 3_35 0.0616731292041155 0.801710438181775 0.007784469410131 NA NA NA NA NA NA
EEFSEC FALSE 3_79 0.0551667839841662 0.395331076831092 0.268771846471054 0.0508074380937119 0.475656345626882 0.336545408709948 NA NA NA
SERPINI1 FALSE 3_103 0.172574048147324 0.499129087065697 0.320147653989051 0.00280816833823983 0.737451302490889 0.259268665579295 NA NA NA
MFAP3 FALSE 5_90 0.0707355001825664 0.441665775423558 0.426758221724672 NA NA NA NA NA NA
TDRD6 FALSE 6_35 0.0155733247430654 0.0887539916451529 0.43637815859867 0.00230069586655346 0.948502027339914 0.141077532868678 NA NA NA
SCML4 FALSE 6_72 0.0198502459778879 NA 0.78553535524889 NA NA NA NA NA NA
CROT FALSE 7_54 0.0157422736327313 0.989991574795033 NA NA NA NA NA NA NA
LONRF1 FALSE 8_15 0.116388175856245 0.73315129613799 NA NA NA NA NA NA NA
FAM120AOS FALSE 9_47 0.0548766183120478 0.768657528993891 0.0458138786988144 NA NA NA 0.0112446463712442 0.656246891476007 NA
CTNNAL1 FALSE 9_55 0.0148830935157922 NA 0.815648123511911 NA NA NA NA NA NA
LRMDA FALSE 10_49 0.0384553480703511 0.815997790773407 0.0102447252929913 NA NA NA NA NA NA
KCNMA1 FALSE 10_50 0.162827283139399 0.0627196624972742 0.833067904294882 NA NA NA NA NA NA
ATE1 FALSE 10_76 0.0120571843464397 0.591822247235656 0.0128419068090162 0.00577000527926375 0.505339419066196 0.37477737514659 0.0121040213496632 NA 0.610781957437679
ARL14EP FALSE 11_21 0.0199777914304129 0.981538098649733 0.0147671201996029 NA NA NA 0.0164080370047188 0.0935523617309063 0.61681226999174
GLTP FALSE 12_66 0.0221733543372555 0.957273903010137 0.00954635537467663 NA NA NA NA NA NA
CCDC122 FALSE 13_17 0.0133315467862726 0.567149134126007 0.0103468516933386 0.00605807687413196 0.316295020342262 0.561043480562568 NA NA NA
GALK2 FALSE 15_19 0.0116612699951638 0.991043130361268 0.0472717957935702 NA NA NA NA NA NA
TMEM219 FALSE 16_24 0.0298658180438983 0.973491564468269 NA NA NA NA NA NA NA
NLRC5 FALSE 16_30 0.0694783577109988 0.0223742388423183 0.767104814329096 NA NA NA NA NA NA
GGNBP2 FALSE 17_22 0.0244289283206723 0.0731425645805087 0.896371503429455 NA NA NA NA NA NA
ATP5MC1 FALSE 17_28 0.0708316153516415 0.538264623321732 0.345317162843865 NA NA NA 0.095690924467035 0.0100586328369584 0.807295444661362
XRN2 FALSE 20_15 0.0158973332662217 0.909244828042497 0.021203230831356 NA NA NA NA NA NA
MCHR1 FALSE 22_17 0.00661888429365842 0.952189827291189 0.00428114953953385 NA NA NA NA NA NA
NDUFA6 FALSE 22_17,22_18 0.00746944054537246 0.00976050575664378 0.95952063663767 NA NA NA NA NA NA
ZBED4 FALSE 22_24 0.0126505714243816 0.0114640235588811 0.716454892746248 NA NA NA NA NA NA
TIGD1 FALSE 2_136,2_137 NA NA NA NA NA NA 0.0244330637343554 0.00868418287051331 0.898456450250359
AUTS2 FALSE 7_45,7_46 NA NA NA NA NA NA 0.164412710452376 0.673812967260239 0.273499178286255
TMX1 FALSE 14_21,14_20 NA NA NA NA NA NA 0.0119219931355055 0.00644505161989672 0.967638936118273
GCH1 FALSE 14_23,14_24 NA NA NA NA NA NA 0.0155234824811706 0.00864273159940177 0.947099955925032
DISP3 FALSE 1_8 NA NA NA NA NA NA 0.0145463592102619 0.278708337984102 0.623801898704747
THBS3 FALSE 1_76 NA NA NA NA NA NA 0.0122684749668098 NA 0.993918906510541
ALMS1 FALSE 2_48 NA NA NA NA NA NA 0.0195807335144153 0.816750610261143 0.0249244859169312
SLC25A12 FALSE 2_104 NA NA NA NA NA NA 0.0118782940577683 0.893439778657054 0.0181977074971511
OLA1 FALSE 2_105 NA NA NA NA NA NA 0.00780953828770337 NA 0.972639890263334
NGEF FALSE 2_137 NA NA NA 0.00219489470516543 0.954051896975763 0.0984227448958723 0.0101174273057218 0.827358295781826 0.0683648793493906
CRTAP FALSE 3_24,3_25 NA NA NA NA NA NA 0.0315439999707318 0.205268618154899 0.738441911617268
CSNK2B FALSE 6_26 NA NA NA NA NA NA 1.60608277566254e-05 4.38323279716713e-06 0.869601760085763
DNPH1 FALSE 6_33 NA NA NA 0.0154047897736642 0.938604418986604 0.0265949215281763 0.0449327888708593 0.802715694383493 0.0282215112884017
