genename PIP_sum PIP_0hr_nmglut PIP_1hr_nmglut PIP_6hr_nmglut PIP_diff
SERPINI1 0.967879299810585 0 0.711098206951446 0.256781092859139 0.967879299810585
ZMYND10 0.947460350831575 0 0 0.947460350831575 0.947460350831575
FOXN2 0.930963131693047 0 0.930963131693047 0 0.930963131693047
GLIPR2 0.925351908463299 0 0.925351908463299 0 0.925351908463299
CPT1C 0.905011972352799 0 0.905011972352799 0 0.905011972352799
TDRD6 0.889278041302306 0 0.889278041302306 0 0.889278041302306
ATP5PO 0.94542777208513 0.068619158394285 0.876808613690845 0 0.80818945529656
C17orf75 0.802316062324788 0 0.108919827391971 0.693396234932817 0.802316062324788
CYP7B1 0.774081349532632 0 0 0.774081349532632 0.774081349532632
DNPH1 0.682737147159587 0 0.682737147159587 0 0.682737147159587
HLA-DMA 0.620670571354687 0 0 0.620670571354687 0.620670571354687
CD46 0.47668047107856 0.0269082043934412 0.0327677563258533 0.417004510359266 0.422864062291678
CXXC5 0.403240440721631 0 0 0.403240440721631 0.403240440721631
SMYD5 0.338528216655924 0 0.338528216655924 0 0.338528216655924
EEFSEC 0.379700318878082 0.0212610609669619 0.210956000808952 0.147483257102168 0.337178196944158
C1QTNF4 0.207779064497343 0 0.207779064497343 0 0.207779064497343
PHACTR4 0.10185106795792 0 0 0.10185106795792 0.10185106795792
PSMA4 0.10127418684833 0 0.0614754895699339 0.0397986972783965 0.10127418684833
ZCCHC7 0.0964859324173872 0 0 0.0964859324173872 0.0964859324173872
WDR49 0.0896329270586249 0 0.0896329270586249 0 0.0896329270586249
PCDH7 0.0698395286207246 0 0.0698395286207246 0 0.0698395286207246
ALMS1 0.0694706562598014 0 0.040009863774743 0.0294607924850584 0.0694706562598014
ZBED4 0.0388791685231467 0 0.0388791685231467 0 0.0388791685231467
PPP1R13B 0.0178024505139577 0.0178024505139577 0 0 -0.0178024505139577
PAK6 0.0201613511638571 0.0201613511638571 0 0 -0.0201613511638571
MFAP3 0.0515828817691206 0.0515828817691206 0 0 -0.0515828817691206
TMED4 0.0758583539717787 0.0758583539717787 0 0 -0.0758583539717787
FAM221A 0.089482448936874 0.089482448936874 0 0 -0.089482448936874
RFLNA 0.185519949480229 0.185519949480229 0 0 -0.185519949480229
