genename PIP_sum PIP_0hr_npglut PIP_1hr_npglut PIP_6hr_npglut PIP_diff
THBS3 0.971288150704285 0 0 0.971288150704285 0.971288150704285
NAGA 0.965999728088451 0 0 0.965999728088451 0.965999728088451
ZNF823 0.945936705095072 0 0.945936705095072 0 0.945936705095072
TMX1 0.879371918071345 0 0 0.879371918071345 0.879371918071345
SMDT1 0.798709990116713 0 0.401499850548775 0.397210139567938 0.798709990116713
MPHOSPH9 0.548006146728877 0 0 0.548006146728877 0.548006146728877
SLC25A12 0.512444560112363 0 0.512444560112363 0 0.512444560112363
TAOK2 0.505289450708594 0 0.076194063202522 0.429095387506072 0.505289450708594
TIGD1 0.466518147411254 0 0 0.466518147411254 0.466518147411254
TMEM219 0.42909538750607 0 0 0.42909538750607 0.42909538750607
DNPH1 0.342540045286422 0 0.324863944816622 0.0176761004698003 0.342540045286422
ALMS1 0.346566591062112 0.0132489414857658 0.316592097141095 0.0167255524352514 0.320068708090581
MAU2 0.283078023021799 0 0.283078023021799 0 0.283078023021799
CD46 0.503959391371473 0.112522967263744 0.131140607426469 0.26029581668126 0.278913456843985
GGNBP2 0.260734685658605 0 0.260734685658605 0 0.260734685658605
BRD2 0.171473051799445 0 0.171473051799445 0 0.171473051799445
ZNHIT3 0.601952690261397 0.222958164214327 0 0.37899452604707 0.156036361832743
ZBED4 0.340097325860549 0.10192563235824 0.0972513062788056 0.140920387223503 0.136246061144069
PCDH17 0.117966044229077 0 0 0.117966044229077 0.117966044229077
NSD3 0.0753160377861336 0 0.0753160377861336 0 0.0753160377861336
EFNA5 0.0502674259724824 0 0 0.0502674259724824 0.0502674259724824
SRPK2 0.0433209852978749 0 0 0.0433209852978749 0.0433209852978749
HLA-DMA 0.64764268772303 0.302416878268305 0.105896346363167 0.239329463091558 0.04280893118642
BAZ2B 0.0409677871276314 0 0.0409677871276314 0 0.0409677871276314
KIF20B 0.034463655386422 0 0.034463655386422 0 0.034463655386422
PAG1 0.0342759714065434 0 0 0.0342759714065434 0.0342759714065434
NMB 0.0287964057779506 0 0 0.0287964057779506 0.0287964057779506
FMNL1 0.0279770987908561 0 0 0.0279770987908561 0.0279770987908561
LRRC37A2 0.00987021910757047 0.00987021910757047 0 0 -0.00987021910757047
BCAT2 0.0155072456669463 0.0155072456669463 0 0 -0.0155072456669463
RBM6 0.085512465660859 0.0544778293019966 0.0310346363588624 0 -0.0234431929431342
NAA40 0.0306134573362501 0.0306134573362501 0 0 -0.0306134573362501
DHRS11 0.0347036580094602 0.0347036580094602 0 0 -0.0347036580094602
MFAP3 0.0396253936890679 0.0396253936890679 0 0 -0.0396253936890679
ATP6V1G1 0.0508456910077603 0.0508456910077603 0 0 -0.0508456910077603
KANSL1 0.0540731361785608 0.0540731361785608 0 0 -0.0540731361785608
CCDC126 0.0590306474625074 0.0590306474625074 0 0 -0.0590306474625074
FAM114A2 0.0677755211832665 0.0677755211832665 0 0 -0.0677755211832665
BDNF 0.125233677945168 0.125233677945168 0 0 -0.125233677945168
DDAH2 0.141184326840691 0.141184326840691 0 0 -0.141184326840691
SCARA3 0.242950476264327 0.242950476264327 0 0 -0.242950476264327
CHRNA3 0.477148165749397 0.41323492718246 0.0407258892013362 0.0231873493656009 -0.349321688615523
BMF 0.927464162439771 0.927464162439771 0 0 -0.927464162439771
