GABA NPglut NMglut
Brain_Amygdala 0.380824063908973 0.339082804859806 0.395237046713398
Brain_Anterior_cingulate_cortex_BA24 0.401393493319087 0.252148476858512 0.369223634943344
Brain_Caudate_basal_ganglia 0.309069248279142 0.415623827719681 0.440595898669334
Brain_Cerebellar_Hemisphere 0.389425689188861 0.37270423896545 0.433752585912596
Brain_Cerebellum 0.44000084089285 0.46873053058453 0.37755514654093
Brain_Cortex 0.459057634336599 0.400244685257548 0.420505815943142
Brain_Frontal_Cortex_BA9 0.430419840392779 0.33077599332491 0.578450372965304
Brain_Hippocampus 0.334101235619698 0.278111346230277 0.292817214384522
Brain_Hypothalamus 0.300474155995184 0.358587323809594 0.366738799039582
Brain_Nucleus_accumbens_basal_ganglia 0.497813971741077 0.423786341936467 0.344653058896219
Brain_Putamen_basal_ganglia 0.380263759073454 0.291386454878919 0.547353212077361
Brain_Spinal_cord_cervical_c-1 0.401825487672091 0.360630367375638 0.291756619224975
Brain_Substantia_nigra 0.129005425744363 0.287567041178041 0.273160655467957
