"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1","SCG2","ENSMUSG00000050711","1.1.1","SCG2","ENSG00000171951","secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]"
"2","CRH","ENSMUSG00000049796","2.1.1","CRH","ENSG00000147571","corticotropin releasing hormone [Source:HGNC Symbol;Acc:HGNC:2355]"
"3","NRD1","N/A","3.1.1","N/A","N/A","N/A"
"4","PLP1","ENSMUSG00000031425","4.1.1","PLP1","ENSG00000123560","proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086]"
"5","EGR1","ENSMUSG00000038418","5.1.1","EGR1","ENSG00000120738","early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]"
"6","FOS","ENSMUSG00000021250","6.1.1","FOS","ENSG00000170345","Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]"
"7","HTATSF1","ENSMUSG00000067873","7.1.1","HTATSF1","ENSG00000102241","HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:HGNC:5276]"
"8","UBE2G1","ENSMUSG00000020794","8.1.1","UBE2G1","ENSG00000132388","ubiquitin conjugating enzyme E2 G1 [Source:HGNC Symbol;Acc:HGNC:12482]"
"9","FOSL2","ENSMUSG00000029135","9.1.1","FOSL2","ENSG00000075426","FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]"
"10","NR4A1","ENSMUSG00000023034","10.1.1","NR4A1","ENSG00000123358","nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]"
"11","NR4A2","ENSMUSG00000026826","11.1.1","NR4A2","ENSG00000153234","nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]"
"12","NR4A3","ENSMUSG00000028341","12.1.1","NR4A3","ENSG00000119508","nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]"
"13","GPD1","ENSMUSG00000023019","13.1.1","GPD1","ENSG00000167588","glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]"
"14","GTF3C1","ENSMUSG00000032777","14.1.1","GTF3C1","ENSG00000077235","general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]"
"15","KRAS","ENSMUSG00000030265","15.1.1","KRAS","ENSG00000133703","KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]"
